,original_text,polarity,score
1663,overall tsla today say got big win given bloodbath market ready move higher monday URL ,0.1363636363636363,positive
1666,surprise another fed interview meester cnbc final hour almost fed want come URL ,0.5,positive
1670,breaking news louisville speed demon wr tyler harrell officially transferring university alabama URL ,0.2142857142857142,positive
1671,also game vince carter block allan houston dunk inside free throw line april 22 URL ,-0.1,negative
1673,tapped cash account went shopping port bought aapl nvda tsla fb nflx goog URL ,0.3071428571428571,positive
1679,many twitter management already sending resume ironically seem one charge one URL ,0.5,positive
1733,israel dump dollar china renminbi URL ,-0.1,negative
1735,bond 2 yield near 2018 high another way looking speed financial condition tightening ver URL ,0.2857142857142857,positive
1741,google weekly chart big tech company start breakdown watch amp learn URL ,0.3583333333333333,positive
1746,know family still struggling higher price grew family price gas went URL ,0.3691666666666667,positive
1748,cooking USER eye eye btc etherum trading cryptocurrency money ape amc gme saitama URL ,0.2981481481481481,positive
1757,USER fcf working crypto payment gateway large portion transaction fee URL ,0.0875,positive
1759,look like USER breaking downtrend good time hop fcf fcfpay bsc bscgems 100xgem 100xgems URL ,0.8,positive
1760,USER USER USER truly undervalued crypto project real life usage ,0.5,positive
1761,USER USER way best community dedicated team fcf fcfpay defi bsc bnb btc altcoin ,0.38,positive
1762,USER 40 since tweet yesterday aped tweeted done well smiling face sunglass eye breaking URL ,0.1875,positive
1764,USER fcf dividend volume dividend payment gateway USER well USER URL ,-0.025,negative
1765,tired rugpulls utility le coin checkout USER world first rst revenue sharing token URL ,0.3,positive
1769,USER accept crypto coin payment ecommerce physical store hemp marijuana URL ,-0.5,negative
1771,USER USER seen two largest holder empty bag completely month selling URL ,0.5,positive
1772,ready see fcfpay banner sport event cryptopayments secure faster anonymous URL ,0.1,positive
1773,fcfpay going bring crypto mainstream fcf moon get market cap low stay like URL ,0.0666666666666666,positive
1776,aped 11 00 USER USER arguably promising project crypto currency URL ,-0.1,negative
1778,USER USER USER fcf going extremely valuable people realize potential URL ,0.1,positive
1779,USER set alarm clock always interesting see new people learn im sure love fcf URL ,0.6,positive
1782,happy dogeday fcfpay support dogecoin payment woocommerce brick mortar store URL ,0.25,positive
1783,giving back empowering community fcf empoweringcrypto fcfpay fcf givingback communitydriven ,0.375,positive
1784,USER buyback amp burn automatically happen every fcfpay transaction day day fcf token supply getting URL ,0.8,positive
1786,USER revenue sharing token USER excellent hold 66 USER revenue distributed URL ,0.175,positive
1787,USER fcf fcfpay utility genuine project greatest leader ceo john nasr URL ,0.08,positive
1790,USER know 80 store want accept cryptocurrency payment beat competition today URL ,-0.25,negative
1791,number american owning crypto gone 2018 23 2021 business owner URL ,0.175,positive
1793,register URL crypto knowledge accept crypto payment fcfpay free URL ,-0.65,negative
1794,tag next coin token list fcfpay smartchain defi cryptopayments paywithcrypto bitcoin ethereum bsc erc ,-0.16,negative
1796,today attracted becoming person today jim rohn ,-0.3111111111111111,negative
1810,ability stay calm polite even people upset superpower ,0.35,positive
1837,every day life trying find different way get better ,-0.1,negative
1843,q4 2018 despite sign slowing economy fed indicated would keep hiking interest rate shrin URL ,0.1583333333333333,positive
1845,powell claim hot labor market great worker thing hot inflation fed URL ,0.1,positive
1846,fed much damage market talking raising interest rate shrinking URL ,-0.1729166666666667,negative
1854,think bad day imagine chris wallace left fox star cnn cnn immediately failed rolling floor laughing rolling floor laughing rolling floor laughing ,-0.8,negative
1859,medium sifting mike tyson victim social medium ascertain political affiliation wi URL ,-0.8,negative
1865,USER call fair election skippy URL ,0.2,positive
1876,twitter may bad humanity pretty good comedy URL ,-0.5,negative
1903,twitter board member scared USER free speech ,-0.05,negative
1921,reporter asks biden extending title 42 responds saying doj appealing see science URL ,-0.5,negative
1923,nothing wrong joe biden shaking hand invisible man URL ,0.1,positive
1933,cbs must regretting hiring real journalist right USER hunter biden scand URL ,-0.3888888888888889,negative
1934,happy friday topic evening include inflation ukraine biden energy elonmusk desantis disney URL ,-0.0212121212121212,negative
1935,clearly good another year URL ,0.1999999999999999,positive
1938,twitter board member scared USER free speech ,0.1872727272727272,positive
1940,trudeaumustgo continues trend many canadian want see man handcuff agree statem URL ,-0.1625,negative
1941,like mentioning 1776 another basis left try jail punish ,-0.3,negative
1942,imagine thinking people would pay watch cnn laugh ,0.05,positive
1943,happy cnn dying ecstatic ,-0.1666666666666666,negative
1945,everyone relax take week wear mask see go week ,-0.0333333333333333,negative
1948,collapse USER cnn operation significant business failure left medium since rise URL ,-0.1555555555555555,negative
1949,breaking barack obama corrupt former president used federal agency harass spy political oppon URL ,-0.05,negative
1950,yesterday elon musk tweeted woke mind virus making netflix unwatchable today open netflix stock crashed 30 ,-0.4,negative
1953,netflix share 25 morning quickly learning go woke get broke ,0.05,positive
1954,go woke go broke URL ,-0.3670454545454545,negative
1955,bitching mask mandate upcoming flight go stay home afraid live life URL ,0.7,positive
1961,never thought electric car maker would trigger left much ,0.1666666666666666,positive
1963,icymi house minority leader kevin mccarthy said nothing far friday audio recording exposed URL ,-0.125,negative
1968,think important vote state election ,0.2857142857142857,positive
1969,USER state local election important vote presidential election ,0.25,positive
1974,USER unqualified trump appointed republican operative judge made summary ruling without even URL ,0.9,positive
1975,let flip ca27 blue please donate rt volunteer USER congress capols URL ,0.2,positive
1978,bruno amato running kevin mccarthy ca23 2022 let make happen voteblue2022 poll URL ,-0.2777777777777778,negative
1989,christian pushing sharia law URL ,-1.0,negative
2003,time navalny take putin good opposition kremlin corruption URL ,0.4375,positive
2021,ammunition kiev regime forgot URL ,0.3928571428571428,positive
2024,kiev regime forgot ammunition URL ,0.2,positive
2025,zaporozhye an26 military transport ukraine ian airforce crashed zaporizhzhia today theory include URL ,-0.6000000000000001,negative
2027,36th marine brigade ukraine lost 700 people killed wounded missing mariupol head URL ,0.5,positive
2029,video russian Russia allied force moving forward rural community kharkov region URL ,-0.3125,negative
2030,use alphabet banned germany face tear joy ukraine URL ,-0.4,negative
2042,address may send courteous brief letter rt hon priti patel home secretary asking URL ,-0.1339285714285714,negative
2045,video mariupol dpr URL ,0.5,positive
2047,florida house vote favor strip disney self government URL ,-0.1875,negative
2051,latest 200 ton food bottled water essential supply arrive dpr russia Russia mariupol URL ,0.7,positive
2060,dust proof dyson latest cordless vacuum show much dust sucked proof deep clean ,0.0208333333333333,positive
2096,awesome bird bird bird URL ,0.1928571428571428,positive
2097,great trick lifehack getting rid mouse play bird sound every room let think bird ar URL ,0.45,positive
2099,haha oh wanted show USER amp USER need somebody make bug catcher URL ,0.1363636363636363,positive
2100,okay feel like errybody laughing brilliant tweet lol USER USER USER URL ,-0.125,negative
2103,alone URL ,-0.1291666666666666,negative
2104,thought probable inflation rate next year ,-0.5,negative
2107,USER ,0.4681818181818182,positive
2108,something put lot effort really proud sundaythoughts ,0.1666666666666666,positive
2111,read full backhand index pointing URL ,0.0833333333333333,positive
2114,USER interesting reading paper URL ,-0.0583333333333333,negative
2116,USER tesla autopilot spends lot effort minimizing jerk ,0.0199999999999999,positive
2117,description weather cold touch frost ah hahaha hot amp steamy errybody URL ,0.1,positive
2118,see whole focus park free hahaha lol parking freeparking important URL ,0.2,positive
2119,sugarhill gang live performance 1979 seem long ago lol time fly da URL ,-0.0666666666666666,negative
2126,think way relationship want wake happy excited day excited happy URL ,-0.1666666666666666,negative
2147,mercedes car fail reach q3 first time nearly 10 year face steam nose URL ,0.1704545454545454,positive
2168,breaking providence ed cooley naismith men college coach year ,0.125,positive
2171,bout ride guess call sin city USER going vega star struck URL ,-0.125,negative
2173,breaking f1 host night race la vega 2023 f1 USER URL ,-1.0,negative
2177,great response checo flexed biceps saudiarabiangp f1 URL ,0.5,positive
2195,left USER would like every republican pas litmus test URL ,0.5,positive
2219,one picture say URL ,-0.8,negative
2223,thing went faster cnnplus kamala harris met ole willie brown ,0.4666666666666666,positive
2225,word URL ,0.05,positive
2229,republic assault former president obama former possible presidential candidate hillary URL ,0.2,positive
2231,came communist cuba biden administration pushing pure communistic policy fight back ,0.8,positive
2232,attention USER USER please takeover leadership rino kevin mccarthy ,0.6,positive
2236,looking tip create best visual imagery press release check video video URL ,-0.125,negative
2254,refresh press release tip maximize readership coverage news publicrelations URL ,0.1619047619047618,positive
2288,every day getting worse joe biden well sad URL ,-0.5,negative
2292,joe rogan elon musk james wood dave chappelle warrior free speech ,0.9,positive
2294,start gorilla duct tape mouth URL ,-0.1,negative
2301,USER one virtue signaler URL ,-0.25,negative
2313,right person murdered hospital drug remdesivir loved one allowed URL ,0.5,positive
2315,collision collision nailed collision collision clapping hand clapping hand backhand index pointing light skin tone URL ,0.2,positive
2435,tune real america tonight 8pm est 5pm pst URL ,0.384090909090909,positive
2454,duty mankind ensure future generation inherit blessing great land earthday URL ,-0.6999999999999998,negative
2461,aoc go full aoc joke jan trial run going come back URL URL ,0.1,positive
2469,cnn reportedly shutting le month URL URL ,-0.0518518518518518,negative
2470,truth social migrates rumble cloud trump platform ready onboard million news URL ,-9.251858538542969e-18,negative
2475,proud white straight URL ,-0.6510416666666667,negative
2478,10 year yield telling u high risk something breaking system gold silver URL ,0.2142857142857142,positive
2479,fed much damage market talking raising interest rate shrinking URL ,0.1363636363636363,positive
2480,long ago could bought security today price spy 10 month ago msft 10 month ago URL ,-0.4,negative
2482,one way know merrick garland failed restoring credibility USER mere idea URL ,0.1630952380952381,positive
2485,addition fueled worst inflation 40 year past two year fed qe interest rate URL ,0.1681818181818181,positive
2486,mccarthy say trump admitted bore responsibility coup attempt jan trump get charged URL ,-0.5,negative
2487,mtg hearing nut already caught lying twice ,-0.5,negative
2492,past week ron desantis attacked book lgbtq community black brown floridian disne URL ,0.16,positive
2493,great would disney took desantis attempt omnipotence raised one announcing plan mov URL ,0.125,positive
2494,important chart last time corporate bond equity performed badly sa URL ,0.25,positive
2496,indicative estimate russia combat loss april 22 according armed force ukrai URL ,-0.1999999999999999,negative
2498,disney leave orlando disney pay lot money make sure ron desantis leaf tallahassee ,0.5,positive
2499,long background aerospace semiconductor engineering think natural fan elo URL ,0.25,positive
2500,16 answer cap assessed value home county would pas 25 increase millage rate ,0.05,positive
2518,flag washington ap u capitol police order evacuation capitol complex citing aircraft pose probable threat ,0.0375,positive
2527,nicely done URL ,-0.1045454545454545,negative
2528,denial natural immunity covid disease worst unscientific folly past 75 year URL ,0.25,positive
2529,complete retail obliteration simply put supply held lth sell pressure al URL ,-0.75,negative
2530,non randomized hospitalization data valid due differential testing lack adjudication inadequate asc URL ,-0.0666666666666666,negative
2531,facial recognition taxpayer giving treasury secretary power ban btc digital asset intrusive reporting URL ,0.6666666666666666,positive
2535,history 101 enabling act 1933 URL URL ,0.4166666666666667,positive
2536,clarify police executing order legislation approved parliament debate URL ,0.2,positive
2538,judge order ottawa police return confiscated fuel back trucker ,-0.5821428571428572,negative
2539,funniest timeline russia spot bitcoin etf u snowden keep dunking america thin URL ,-0.1,negative
2540,breaking russian government central bank reached agreement cryptocurrencies according URL ,0.4333333333333333,positive
2545,54 canadian want covid restriction lifted 15 point swing couple week canadian trucke URL ,0.2,positive
2552,collision intel present new bitcoin mining asic chip february 23 ,0.25,positive
2553,breaking polish immigrant arrived ottawa thousand polish sausage bread trucker URL ,0.1,positive
2555,natural immunity study today jama thumb medium light skin tone 816 people thumb medium light skin tone 99 prior covid circulating antibody unv URL ,0.2142857142857142,positive
2558,published solo mining blockstream satellite bitcoin core node satellite laptop URL ,0.2,positive
2559,bitcoin currently 4th oversold history according dormancy flow dollar cost averaging URL ,-0.1,negative
2568,denmark ended covid restriction URL ,0.3571428571428571,positive
2570,meeting USER mexican senator working bring bitcoin financial freedom people URL ,0.05,positive
2576,always thanks tuning also lot lost u direct tv watch URL ,-0.1428571428571428,negative
2594,talk time backfire face hand mouth face hand mouth face hand mouth URL ,-0.1166666666666666,negative
2597,breaking news warner bros discovery shutting cnn streaming service variety reported thursday cit URL ,-0.2125,negative
2600,trump want gop america first congress URL oann ,-0.0225,negative
2601,happens battery electric bus ignite electric bus cost 3x muc URL ,0.0055555555555555,positive
2603,good morning wednesday april 20th stsrt day anchor producer USER USER accurat URL ,0.6121212121212122,positive
2605,tonight USER USER talk USER USER USER USER URL ,-0.7142857142857143,negative
2606,tonight USER USER USER USER USER USER URL ,0.5,positive
2608,time clean house twitter elon musk bid twtr win free speech loss pro ce URL ,0.7,positive
2610,another summer riot USER URL ,0.25,positive
2613,anyone point part constitution give cdc authority life think ,0.0999999999999999,positive
2614,police car light breaking governor desantis signed stop woke act banning critical race theory public school un URL ,0.4,positive
2616,clear would side british 1776 ,0.1,positive
2618,soo leaking kevin mccarthy audio democrat want republican pick new leader think URL ,0.2102272727272727,positive
2620,good morning everyone except leftist suddenly think major corporation like disney rule pay tax ,0.625,positive
2621,way mitigate damage every disease whether covid whether cancer look thin URL ,0.28125,positive
2623,19 u food processing facility burn last month biden manufacturing food crisis thinking face ,-0.5,negative
2624,obama back amp calling censorship like good little democrat ,0.0999999999999999,positive
2626,breaking governor desantis sign bill dissolve disney special governing status god bless amazing governor ,0.2523809523809524,positive
2627,breaking gov desantis signed bill officially stripping disney special governance tax status privilege ,0.3121212121212121,positive
2629,recording provide anything worked cheney take president URL ,0.4,positive
2630,one thing provides tax cut back stab take party URL ,0.4017857142857143,positive
2631,removing kevin mccarthy leadership integral step taking back nation ,0.125,positive
2632,gave order stop counting vote swing state night november 2020 ,0.175,positive
2633,trying intimidate normal person ever running office fundamentally un american ,1.0,positive
2634,like mentioning 1776 another basis left try jail punish ,0.2,positive
2635,coordinated attack food processing plant many accident last mont URL ,0.3,positive
2636,USER hearing making mockery due process highlight left contempt u constitution ,0.3181818181818182,positive
2637,parent get decide child taught government teacher union ,0.184090909090909,positive
2640,trying stop mtg allowed run election trump 24 obvious ,0.65625,positive
2643,effort court state official bar member congress running election seated un URL ,0.3571428571428571,positive
2649,money laundering bonanza going tax dollar ukraine nobody even talking ,-0.0222222222222222,negative
2654,test every piece legislation involves spending going pay URL ,0.46875,positive
2656,american even afford buy food right zelensky audacity ask billion month URL ,0.3121212121212121,positive
2657,fauci want court getting involved thing unequivocally public health decision translat URL ,-0.078125,negative
2658,dr fauci express contempt constitutional government rule law URL ,0.2,positive
2661,USER USER ivm hcq never really heard prescription filled ridiculous ,-0.3125,negative
2662,puzzling phenomenon patient report rebound covid 19 symptom taking antiviral paxlovid URL ,-0.0769230769230769,negative
2676,USER folk lining pocket ballot vote getting rid conservative employee URL ,0.625,positive
2679,USER horse mouth clinically tested syringe billion people let repeat clinically tested ,-0.125,negative
2698,USER USER USER USER USER USER USER USER respect URL ,-0.175,negative
2699,would tolerate troop missile cuba ignored putin acted could URL ,0.1333333333333333,positive
2700,douglas mcgregor participant gulf war predicted tucker carlson broadcast fighting URL ,0.1,positive
2701,USER world worry thing colonel douglas mcgregor ,-0.1555555555555555,negative
2703,truth col douglas mcgregor URL ,0.2666666666666666,positive
2704,deel URL ,-0.05,negative
2712,michael mann caricature scientist continued using tiljander data upside long po URL ,0.35,positive
2720,two russian oligarch family found dead last day think going ,0.5,positive
2722,update da office say attempted murder suicide man shooter USER URL ,-0.4,negative
2737,else like baby calf cow farm URL ,0.1666666666666666,positive
2738,right attleboro tractor trailer rollover ramp 95 north 295 nb 95 exit USER ,0.6,positive
2740,latest covid number USER URL ,-0.875,negative
2743,would shame photograph went viral URL ,-0.1875,negative
2744,USER one oldest country reported history department pod studio thank URL ,-0.125,negative
2746,watch every second URL ,-0.075,negative
2749,refugee agency say million people fled ukraine since russian invasion started via USER USER ,0.8,positive
2751,unified program franklin could use little financial help find link URL ,0.05,positive
2758,great aka gross anyone else want take crack describing morning URL ,0.5,positive
2759,quite graphic URL ,1.0,positive
2817,icymi honor endorsed assemblymember USER amp ny senator USER yesterday press URL ,-0.0999999999999999,negative
2818,proud cousin michigan state senator mallory mcmorrow standing strongly community URL ,0.8,positive
2821,think USER corporate shill sell fake would cross alligator swamp vote URL ,0.7,positive
2822,gov hochul worked nursing home family expose every deadly policy andrew cuomo ending URL ,0.05,positive
2826,statement resignation lieutenant governor brian benjamin URL ,0.1306818181818181,positive
2827,USER USER event honoring hard work union congresswoman herse URL ,0.5,positive
2828,new top new york state democratic senator USER calling lt governor brian benjamin resign followin URL ,0.0681818181818181,positive
2834,voting USER governor enough form shred substance governor URL ,0.1363636363636363,positive
2835,spin sell budget hundred politicized ribbon cutting every event hope pre URL ,0.5,positive
2838,fully agree URL ,1.0,positive
2840,sorry USER inflammatory offensive universal child care documented kid would URL ,0.175,positive
2843,men literally chair state democratic party try create whole new third party instead go therapy ,0.1,positive
2846,budget late governor mayor want subsidize rich criminalize poor 55 60 URL ,0.125,positive
2848,hey new york state good 850m taxpayer going nfl facility 800m get cut child amp URL ,0.4,positive
2849,economist may flashy stadium using money child family service URL ,0.0454545454545454,positive
2850,disgraceful USER budget cut 800 million child family service give 800 million URL ,0.1999999999999999,positive
2852,holy cow day new york state budget USER announced 600 free buffalo bi URL ,-0.5,negative
2858,thank amazing team petitioning across sd46 raising hand medium dark skin tone URL ,0.4681818181818182,positive
2859,congratulation confetti ball mechanicville public library book new ev high voltage station another step URL ,0.1704545454545454,positive
2867,every day getting worse joe biden well sad URL ,-0.15,negative
2876,hero URL ,0.1166666666666666,positive
2877,lmfao backhand index pointing backhand index pointing URL ,0.1166666666666666,positive
2880,wow horrific angry face kill baby 28 day birth cry face face steam nose word pensive face URL ,0.0333333333333333,positive
2881,asked ending title 42 joe biden start talking mandating mask airplane URL ,0.4166666666666667,positive
2882,logic could applied many area called personal responsibility URL ,0.2,positive
2888,example educator lost job posted video professor want desti URL ,0.0499999999999999,positive
2889,would really nice washington post amp taylor lorenz actually newsworthy article highlighting sick URL ,-0.5,negative
2890,department education canceled student loan debt 40 00 people offered credit help anoth URL ,0.2,positive
2894,like maxine water family making money pol campaign coffer like piggy bank pas URL ,-1.0,negative
2895,psaki refuse apologize confronted biden administration smearing border patrol agent debunked URL ,-0.4,negative
2897,even damn easter bunny handler lordy URL ,-0.1583333333333333,negative
2904,hate inflation consumerism meme priceless unitedstates fyp american inflation artwork URL ,0.0999999999999999,positive
2907,rumour going around ex reddit ceo yishan wong dev USER URL URL ,0.0714285714285714,positive
2911,like team build cultish support like terraformdao huge thread coming soon USER family ,0.4333333333333333,positive
2915,altcoin 10x week comment favorite one backhand index pointing claw stepd terraform 100xgem ,0.2142857142857142,positive
2916,moonbirds passed azuki 1st place 30 day volume moonbirds existed 26 hour URL ,0.1785714285714285,positive
2920,locked enabled icloud backup app data include password encrypted metamask vault URL ,0.284090909090909,positive
2923,project accept USER marketing offer try kill fake fud working URL ,0.284090909090909,positive
2925,eth memecoin low cap world super volatile day imo big wanna hodl shi terraform URL ,0.284090909090909,positive
2927,shill terraformdao much longer ,0.0454545454545454,positive
2931,terraformdao reverse ready join journey towards greatness get go viral USER ,0.284090909090909,positive
2933,sleep terraformdao risk rumor insane smoke often fire ,0.4333333333333333,positive
2941,sleep terraformdao keep hearing rumor large player involved chart look ripe brea URL ,0.5,positive
2947,terraform earth terraformers lasting change nowismany terrafam terraformdao URL ,0.6875,positive
2952,good see mitch mcconnell mitt romney ben sasse speak strongly leftist lawfare used URL ,0.7,positive
2953,day colorado gop state assembly medium hit piece people telling URL ,0.1,positive
2956,louisville coaching staff watching dj wagner indianapolis URL ,0.25,positive
2957,anyone else following URL ,0.22,positive
2958,truth URL ,-0.125,negative
2959,florida denigrate destroy micky minnie goofy woke disney ,-0.6,negative
2961,sick senile demented corrupt fool need impeached asap fjb URL ,0.3285714285714285,positive
2962,got covid 2nd time running fever sick grateful vaccinated boosted go get shot URL ,0.1,positive
2965,199 221 303 illegal alien stopped federal agent march put remain mexico program eve URL ,-0.0833333333333333,negative
2966,hillary clinton called european country expand censorship combat disinformation URL ,0.4333333333333333,positive
2969,receiver tampered chose take bait leave teammate dry unacceptable URL ,1.0,positive
2970,triple jabbed leg keep bruising URL ,0.08,positive
2971,trying keep marjorie taylor greene ballot un american period ,0.4583333333333333,positive
2972,think elon musk actually acquires twitter become number one social medium company ,0.1666666666666666,positive
2973,going grill people stopped count election night 2020 ,0.375,positive
2974,medium blackout ghislaine maxwell trial thinking face ,0.2249999999999999,positive
2975,john kerry give private jet earth day ,-0.05,negative
2978,biden met warm let go brandon welcome auburn wa arrives green river college URL ,-0.05,negative
2982,many time anita dunn get go back work white house filling financial disclosure URL ,-0.1,negative
2984,question asking fuck disney special tax exemption status begin ,0.5,positive
2985,swalwell engaged sexual relationship actual chinese spy sitting house intelligence commit URL ,-0.05,negative
2986,backhand index pointing light skin tone real pandemic america pensive face URL ,-0.3166666666666667,negative
2989,nancy pelosi held accountable fully responsible january 6th ,-0.055,negative
2991,vladimir putin USER account donald trump ,0.25,positive
2996,gold stage uptrend since june 2019 simple gold silver xauusd xagusd inflation URL ,-0.45,negative
2997,bitcoin boring gasp boring good want institutional adoption thread URL ,0.8,positive
2998,yearly inflation year 00 00 retirement pension 472k purchasing power URL ,-0.0327380952380952,negative
3000,honest spending 79 36 hurt grimacing face URL ,0.175,positive
3001,wef yuval noah harari free URL ,0.1,positive
3002,hey USER write inflation tax filing ,-0.6,negative
3004,pleasure interviewing USER bitcoin 2022 say USER lightn URL ,-0.25,negative
3005,wiley coyote moment coming biggest bubble bust coming baby boomer retirement stolen 10 trillion fak URL ,0.4,positive
3006,many dutch dying since 2020 partly covid part seems mystery URL ,0.25,positive
3008,score great stats tool help give u insight data set especially bitcoin ch URL ,0.0666666666666666,positive
3011,ust USER clapping hand URL ,-0.3333333333333333,negative
3013,upon time URL ,0.1333333333333333,positive
3014,bitcoin lightning high voltage making way legacy system cheaper faster nothing stop revoluti URL ,-0.1555555555555555,negative
3016,startling statistic USER URL ,-0.25,negative
3019,country print fiat buy bitcoin cannot opposite ,0.25,positive
3022,history energy transition USER URL ,-0.15625,negative
3023,34 world hold bitcoin 106 million billion new crypto ,0.0555555555555555,positive
3028,resession warning backhand index pointing medium light skin tone face monocle URL ,0.4928571428571428,positive
3035,eu rule URL ,0.06,positive
3061,breaking florida senate passed bill dismantle walt disney world self governing reedy creek improve URL ,0.25,positive
3064,biden administration continues neglect humanitarian crisis border bidenbordercrisis URL ,-0.075,negative
3073,chicago shooting wounded far weekend chicago sun time shark news opinion 19 people shot easter week URL ,1.0,positive
3074,drop box ballot prohibited URL ,0.5,positive
3075,cnn already calling quits getting fired first ,0.175,positive
3076,report 300 800 russian wagner group mercenary killed ukrainian troop russian mercs must reall URL ,0.1363636363636363,positive
3134,important issue sd46 health climate inflation wage newyork ballstonlake ballstonspa URL ,-0.1511904761904761,negative
3138,next ig thing even larry see giving away 54 bitcoin right celebrate URL ,-0.0333333333333333,negative
3141,USER USER ny volunteer state ambassador share power learning experience hel URL ,-0.0625,negative
3146,woman raising hand medium dark skin tone week election day ready sd49 exclamation question mark yes double exclamation mark check mark button 68k telephone mobile phone made voter flexed biceps medium dark skin tone check mark button donate URL ,0.125,positive
3149,USER responds USER statement vote count use mailinballots URL ,0.5,positive
3150,USER response term limit USER state USER telling hairdresser URL ,-0.1,negative
3151,detective medium dark skin tone tedisco thursday detective medium dark skin tone 7575 vote pas bill make possessing firearm class misdemeanor include URL ,0.1363636363636363,positive
3153,USER communication team would fired condone sloppiness take week URL ,0.3,positive
3155,honored included along USER USER amp many incredible candidate endo URL ,-0.91552734375,negative
3158,USER nervous quite normal corporate politician go u buckle going URL ,0.0625,positive
3159,fire le day hit goal 10k week fire flexed biceps medium dark skin tone currently 8077 flexed biceps medium dark skin tone check mark button pitch URL ,0.0666666666666666,positive
3160,speech blacklivesmatter rally glensfalls new york endracism protests2020 sd49 URL ,0.15,positive
3161,USER hail mary thrown schenectady dems response thearse running esta URL ,0.4,positive
3163,per elli medicine beginning monday may 9am set mcclellan street health center loc URL ,0.4,positive
3165,crown act 6209 prohibits employer well school discriminating natural hairstyle alth URL ,0.1363636363636363,positive
3166,miss evening tea thearse worry ny49 catch latest episode well past URL ,-0.1555555555555555,negative
3167,new webinar covid 19 current status testing treatment amp vaccine tuesday may 00 pm et join URL ,0.2,positive
3169,get latest information covid19 visiting URL updated daily ny49 ,0.25,positive
3175,join u today recognizing epilepsyawareness million number people usa live epilepsy URL ,0.1,positive
3176,new york state covid 19 emotional support helpline established reach hotline 844 863 9314 URL ,0.0333333333333333,positive
3178,state reopen aca insurance enrollment broaden health coverage covid 19 state check ou URL ,0.2,positive
3179,get latest update covid19 ny49 newyorkcoronavirus visiting URL ,0.1363636363636363,positive
3180,happy filing day team excited announce officially submitted petition board electi URL ,0.25,positive
3184,thought biden democrat screwed high food gas price wait URL ,0.1875,positive
3188,beyond pathetic disgusting flat horseshit URL ,0.125,positive
3189,win without cheating cheating bought paid thing exactly missio URL ,-0.2,negative
3193,day celebrating environment like earth day celebrity politician like lecture average american URL ,0.1,positive
3194,trump warned scoffed URL ,0.1,positive
3198,good morning URL ,0.1,positive
3202,tennessee pass bill requiring drunk driver pay child support kill parent URL ,-0.3999999999999999,negative
3203,USER absolutely ,-0.0277777777777777,negative
3205,business publicly picking political side good service prolly suck ,0.2333333333333333,positive
3206,homophobic criticize lgbtq agenda school ,-0.1555555555555555,negative
3207,notion right disapprove certain agenda insane disagree whomever want disagree ,-0.0277777777777777,negative
3211,cautious put inside body become taboo ,0.2,positive
3213,reminder government allowed use virus scam others ,-0.0416666666666666,negative
3219,certainly try know conservative job amp life need people volunteer polling place li URL ,0.375,positive
3295,mutualaidrequest peace symbol like asking donation know else sad relieved face small amount URL ,0.3125,positive
3329,United States united state warned friday would respond accordingly China china installs military base strat URL ,-0.05,negative
3330,watch local source reporting palestinian bethlehem forcing israeli soldier retreat allow URL ,0.05,positive
3333,pick tulip includes tractor ride around ward berry farm tulip patch still early bu URL ,-0.15,negative
3334,week 200 00 tulip pop look bit like holland ward berry farm URL ,-0.8,negative
3339,left mystic seaport monday afternoon one sail beam appeared scrape side control hous URL ,0.390625,positive
3342,exciting day thousand runner pick bib number hynes convention center mond URL ,0.05,positive
3343,running year together chris nasser amp bentley grace hick went USER fastest marathon pushing URL ,-0.1071428571428571,negative
3349,business USER happy USER lockout george owner fenway cafe say fa URL ,0.0916666666666666,positive
3352,memorial service christ king ukrainian catholic church jamaicaplain part stand ukraine da URL ,-0.05,negative
3362,people rally remember eating lunch amp drinking beer tree decade ago USER say URL ,0.6,positive
3364,hurry despite road since 30 morning kevin great mood go URL ,0.8,positive
3366,ojikutu say boston seen 50 increase recently covid hospitalization say people hospita URL ,0.5,positive
3368,USER begin iceflow class thefenway today connecting breath inhaling joy amp light amp thing URL ,-0.5,negative
3372,heard hot yoga really cold yoga USER teach yoga inspired skating class sunday URL ,0.1,positive
3373,line right get pcr covid19 test anna cole heath st USER letting 15 URL ,-0.1388888888888889,negative
3376,born day apart 1960 met USER middle school amp joined USER USER 1978 URL ,0.0454545454545454,positive
3419,USER great share keep going ,-0.0777777777777777,negative
3430,USER oh good loan saving spread canyon 200 instead 300 life much easier ,0.3,positive
3457,short flat ,-0.4,negative
3469,cdc admitted uptick hepatitis amp viral mutation child likely due lockdown amp URL ,0.2083333333333333,positive
3503,hcdi news today come one talked 25 60 shorted 29 day cover 29 trading 28 mil URL ,0.245,positive
3511,citadel ken griffin gop top donor 40m put toward upcoming midterm ,0.05,positive
3543,bullshit alarm going URL ,-0.3166666666666667,negative
3544,lenin born april 22nd 152 year ago russian army occupying melitopol ukraine celebrated day URL ,0.35,positive
3548,footage ukrainian force battle kharkiv oblast russia ukraine URL ,0.1,positive
3549,number abandoned russian equipment failed attack thwarted ukrainian 93rd mechanized brigade URL ,-0.1,negative
3550,recently went full year without pullback move since powell speech yesterday morning URL ,-0.1,negative
3551,Ukraine photo sniper 28th separate mechanized brigade named knight winter campaign URL ,-0.0124999999999999,negative
3557,nasdaq mtd 2nd worst start april index history behind 200 URL ,-0.0625,negative
